Start (MSK Time Zone),Duration (min),Title,Speakers,URL
21/07/2024 10:00:00,45,"Прагматичная архитектура: как проектировать Go-приложение, руководствуясь чисто практическими соображениями","Даниил Подольский, YADRO",<https://conf.ontico.ru/lectures/5088349/discuss>
22/07/2024 10:00:00,45,"Алиса? Салют? Алекса? Нет, <Название ассистента в разработке> !",Эдгар Сипки,<https://conf.ontico.ru/lectures/5389176/discuss>
